GPS-Reading took: 0.000000 [s] 	 Scanning took 4.555000 [s] 	 Evaluation took 0.098000 [s] 	 Writing to file took: 0.038000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.564000 [s] 	 Evaluation took 0.114000 [s] 	 Writing to file took: 0.043000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.546000 [s] 	 Evaluation took 0.104000 [s] 	 Writing to file took: 0.039000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.553000 [s] 	 Evaluation took 0.115000 [s] 	 Writing to file took: 0.052000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.534000 [s] 	 Evaluation took 0.067000 [s] 	 Writing to file took: 0.048000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.586000 [s] 	 Evaluation took 0.087000 [s] 	 Writing to file took: 0.046000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.567000 [s] 	 Evaluation took 0.081000 [s] 	 Writing to file took: 0.060000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.561000 [s] 	 Evaluation took 0.081000 [s] 	 Writing to file took: 0.058000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.563000 [s] 	 Evaluation took 0.083000 [s] 	 Writing to file took: 0.058000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.560000 [s] 	 Evaluation took 0.092000 [s] 	 Writing to file took: 0.049000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.559000 [s] 	 Evaluation took 0.088000 [s] 	 Writing to file took: 0.056000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.557000 [s] 	 Evaluation took 0.041000 [s] 	 Writing to file took: 0.010000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.549000 [s] 	 Evaluation took 0.123000 [s] 	 Writing to file took: 0.050000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.629000 [s] 	 Evaluation took 0.147000 [s] 	 Writing to file took: 0.035000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.621000 [s] 	 Evaluation took 0.089000 [s] 	 Writing to file took: 0.052000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.562000 [s] 	 Evaluation took 0.095000 [s] 	 Writing to file took: 0.052000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.549000 [s] 	 Evaluation took 0.100000 [s] 	 Writing to file took: 0.051000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.546000 [s] 	 Evaluation took 0.101000 [s] 	 Writing to file took: 0.035000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.565000 [s] 	 Evaluation took 0.105000 [s] 	 Writing to file took: 0.041000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.549000 [s] 	 Evaluation took 0.125000 [s] 	 Writing to file took: 0.038000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.539000 [s] 	 Evaluation took 0.142000 [s] 	 Writing to file took: 0.047000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.609000 [s] 	 Evaluation took 0.093000 [s] 	 Writing to file took: 0.047000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.559000 [s] 	 Evaluation took 0.095000 [s] 	 Writing to file took: 0.028000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.573000 [s] 	 Evaluation took 0.097000 [s] 	 Writing to file took: 0.055000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.549000 [s] 	 Evaluation took 0.101000 [s] 	 Writing to file took: 0.050000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.549000 [s] 	 Evaluation took 0.120000 [s] 	 Writing to file took: 0.035000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.544000 [s] 	 Evaluation took 0.094000 [s] 	 Writing to file took: 0.035000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.572000 [s] 	 Evaluation took 0.104000 [s] 	 Writing to file took: 0.040000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.557000 [s] 	 Evaluation took 0.048000 [s] 	 Writing to file took: 0.013000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.540000 [s] 	 Evaluation took 0.092000 [s] 	 Writing to file took: 0.053000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.554000 [s] 	 Evaluation took 0.089000 [s] 	 Writing to file took: 0.029000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.581000 [s] 	 Evaluation took 0.102000 [s] 	 Writing to file took: 0.048000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.551000 [s] 	 Evaluation took 0.123000 [s] 	 Writing to file took: 0.039000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.538000 [s] 	 Evaluation took 0.098000 [s] 	 Writing to file took: 0.045000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.559000 [s] 	 Evaluation took 0.094000 [s] 	 Writing to file took: 0.057000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.549000 [s] 	 Evaluation took 0.096000 [s] 	 Writing to file took: 0.046000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.562000 [s] 	 Evaluation took 0.102000 [s] 	 Writing to file took: 0.044000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.556000 [s] 	 Evaluation took 0.084000 [s] 	 Writing to file took: 0.046000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.569000 [s] 	 Evaluation took 0.119000 [s] 	 Writing to file took: 0.044000 [s]
GPS-Reading took: 0.000000 [s] 	 Scanning took 4.536000 [s] 	 Evaluation took 0.109000 [s] 	 Writing to file took: 0.046000 [s]
GPS-Reading took: 0.001000 [s] 	 Scanning took 4.544000 [s] 	 Evaluation took 0.083000 [s] 	 Writing to file took: 0.038000 [s]
